LineCode,LineText,OriginalText,Comment,Speaker,StoryNode
line:55e682,vielen Dank,thanks,thanks,Original,GoatStart
line:1cf998,"<sprite tint=1 name=""UpArrow""> Rangerhütte","<sprite tint=1 name=""UpArrow""> Rangers Cabin","<sprite tint=1 name=""UpArrow""> Rangers Cabin",Original,BeachHutSign
line:6df2cf,"<sprite name=""DownArrow"" tint=1> Weißküstenweg","<sprite name=""DownArrow"" tint=1> White Coast Trail","<sprite name=""DownArrow"" tint=1> White Coast Trail",Original,BeachHutSign
line:6794ce,"<sprite tint=1 name=""UpArrow""> Falkenspitzenweg\nWeißküstenweg <sprite name=""RightArrow"" tint=1>","<sprite tint=1 name=""UpArrow""> Hawk Peak Trail\nWhite Coast Trail <sprite name=""RightArrow"" tint=1>","<sprite tint=1 name=""UpArrow""> Hawk Peak Trail\nWhite Coast Trail <sprite name=""RightArrow"" tint=1>",Original,WhiteCoastSign
line:24d728,"<sprite tint=1 name=""DownArrow""> Südstrand\n<sprite tint=1 name=""DownArrow""> Besucherzentrum\n","<sprite tint=1 name=""DownArrow""> Sid Beach\n<sprite tint=1 name=""DownArrow""> Visitor Center\n","<sprite tint=1 name=""DownArrow""> Sid Beach\n<sprite tint=1 name=""DownArrow""> Visitor Center\n",Original,WhiteCoastSign
line:c3feb2,"hey! wo glaubst du, wo du hingehst?",hey! where do you think you're going?,hey! where do you think you're going?,Original,AuntRunOffStart
line:660020,"oh, ähm...","oh, um...","oh, um...",Player,AuntRunOffStart
line:94ad70,"du wirst doch nicht einfach\nweggehen, ohne deiner alten Tante\nMay hallo zu sagen, oder?","you're not going to just wander\noff without saying hi to old\nAunt May, are you?","you're not going to just wander\noff without saying hi to old\nAunt May, are you?",Original,AuntRunOffStart
line:0377ea,ich habe dich den ganzen Tag\nnicht gesehen!,i haven't seen you all day!,i haven't seen you all day!,Original,AuntRunOffStart
line:2ee5c6,tut mir leid...,sorry...,sorry...,Player,AuntRunOffStart
line:393e8a,"ich hatte bloß keine Lust\nzu reden, glaube ich","i just, didn't feel like\ntalking i guess","i just, didn't feel like\ntalking i guess",Player,AuntRunOffStart
line:8bc66d,"hmm, was ist denn los?",hmm what's going on?,hmm what's going on?,Original,AuntRunOffStart
line:68da3e,nichts!,it's nothing!,it's nothing!,Player,AuntRunOffStart
line:cc2ab6,uhm,um,um,Player,AuntRunOffStart
line:2a2a55,ich habe nur auf\neinen Anruf gewartet,i've just been waiting\naround for a call,i've just been waiting\naround for a call,Player,AuntRunOffStart
line:69f366,"hey, wie geht's?",hey how's it going?,hey how's it going?,Original,AuntIntroStart
line:f3c007,ich hab' dich den ganzen Tag\nnicht gesehen,i haven't seen you all day,i haven't seen you all day,Original,AuntIntroStart
line:13113d,warst du beschäftigt?,you been busy?,you been busy?,Original,AuntIntroStart
line:15e70c,"uh, irgendwie schon","uh, kinda","uh, kinda",Player,AuntIntroStart
line:04670a,"na gut, nicht wirklich","well, not really","well, not really",Player,AuntIntroStart
line:de5495,ich habe nur auf\neinen Anruf gewartet,i've just been waiting\naround for a call,i've just been waiting\naround for a call,Player,AuntIntroStart
line:ac2e52,"nun, da hast du dein Problem!",well there's your problem!,well there's your problem!,Original,AuntIntroEnd
line:122c03,hier draußen gibt es\nkeinen Handyempfang,there's no reception out here,there's no reception out here,Original,AuntIntroEnd
line:895cf8,warte...,wait...,wait...,Player,AuntIntroEnd
line:85a826,WAS!?,WHAT!?,WHAT!?,Player,AuntIntroEnd
line:264290,"ja, ich meine, so ziemlich\nkeinen Handyempfang","yeah, i mean, pretty much\nno reception","yeah, i mean, pretty much\nno reception",Original,AuntIntroEnd
line:8a1b8c,du könntest ein wenig Empfang\noben auf der <color=red>Falkenspitze</color> haben,you might be able to get\nsome at <color=red>Hawk Peak</color>,you might be able to get\nsome at <color=red>Hawk Peak</color>,Original,AuntIntroEnd
line:c175a4,"oh... ja, ich glaube schon",oh... yeah i guess,oh... yeah i guess,Player,AuntIntroEnd
line:f8213b,"aber das ist sehr\nweit weg, oder?",but that's pretty far\nisn't it?,but that's pretty far\nisn't it?,Player,AuntIntroEnd
line:b5e4af,es ist nicht so weit!,it's not that far!,it's not that far!,Original,AuntIntroEnd
line:2adc6a,wir alle haben die\nWanderung schon mal gemacht,we've all made the\ntrek before,we've all made the\ntrek before,Original,AuntIntroEnd
line:2cc023,ich dachte du wärst\nschon mal dort gewesen,i figured you would have\ngone already,i figured you would have\ngone already,Original,AuntIntroEnd
line:22169d,oh... ja,oh... yeah,oh... yeah,Player,AuntIntroEnd
line:87a10b,ich wollte ja dort hin,i've been meaning to go,i've been meaning to go,Player,AuntIntroEnd
line:bb94a0,aber,but,but,Player,AuntIntroEnd
line:97eccf,es ist nur so,i just,i just,Player,AuntIntroEnd
line:43b28d,ich bin noch nicht\ndazu gekommen,haven't gotten around to it yet,haven't gotten around to it yet,Player,AuntIntroEnd
line:7a4449,"nun, heute ist ein so guter Tag\nwie jeder andere!",well today's as good a day\nas any!,well today's as good a day\nas any!,Original,AuntIntroEnd
line:69a1a3,...,...,...,Player,AuntIntroEnd
line:665732,nimm einfach den <color=red>Weißküstenweg</color>\nund laufe an der Gabelung nach <color=red>Norden</color>,just take <color=red>White Beach Trail</color>\nand head <color=red>north</color> at the fork,just take <color=red>White Beach Trail</color>\nand head <color=red>north</color> at the fork,Original,AuntIntroEnd
line:4a3aac,folge dann den Schildern\nbis zur <color=red>Falkenspitze</color>,then follow the signs\nfor <color=red>Hawk Peak</color>,then follow the signs\nfor <color=red>Hawk Peak</color>,Original,AuntIntroEnd
line:afa6b1,kein Problem!,no problem!,no problem!,Original,AuntIntroEnd
line:e4f197,die <color=red>Falkenspitze</color> ist\nwirklich wunderschön,<color=red>Hawk Peak</color> really is wonderful,<color=red>Hawk Peak</color> really is wonderful,Original,AuntChat
line:8866aa,du wirst sie lieben!,you're going to love it!,you're going to love it!,Original,AuntChat
line:3f786f,ja... ich habe viel\ndarüber gehört,yeah... i've heard a lot about it,yeah... i've heard a lot about it,Player,AuntChat
line:1a3a17,"es ist eine ordentliche\nWanderung, klar","it's quite a hike, sure","it's quite a hike, sure",Original,AuntChat
line:5178bc,aber unsere Familie ist seit\nGenerationen hingewandert,but our family has been going\nthere for generations,but our family has been going\nthere for generations,Original,AuntChat
line:67dceb,jup,yup,yup,Player,AuntChat
line:e2d813,die Thermalquellen am Gipfel\nschaffen diese erstaunlichen Aufwinde,the hot springs at the peak\ncreate these amazing updrafts,the hot springs at the peak\ncreate these amazing updrafts,Original,AuntChat
line:40798a,das Gefühl dort oben zu fliegen\nist einfach unglaublich,the feeling of flying up there\nis incredible,the feeling of flying up there\nis incredible,Original,AuntChat
line:f124e6,aber,but,but,Player,AuntChat
line:a1168c,ist es nicht,isn't it,isn't it,Player,AuntChat
line:c8cb65,irgendwie gefährlich?,kind of dangerous?,kind of dangerous?,Player,AuntChat
line:65f725,nicht wirklich,not really,not really,Original,AuntChat
line:2dc6ae,es wird für dich kein Problem sein!,it'll be no problem for you!,it'll be no problem for you!,Original,AuntChat
line:a9b82f,hmm,hmm,hmm,Player,AuntChat
line:0acd94,"also, auf was für einen Anruf\nwartest du?",so what kind of call\nare you waiting for?,so what kind of call\nare you waiting for?,Player,AuntChat
line:e495d6,oh.. ähm,oh.. um,oh.. um,Player,AuntChat
line:e1eca7,du weißt schon...,you know...,you know...,Player,AuntChat
line:fe9497,...,...,...,Player,AuntChat
line:39e326,die Sache,the thing,the thing,Player,AuntChat
line:a48a7c,...,...,...,Original,AuntChat
line:9c8c35,ohhh! tut mir leid,ohhh! i'm sorry,ohhh! i'm sorry,Original,AuntChat
line:4d933a,ich vergaß,i forgot,i forgot,Original,AuntChat
line:04095c,"macht dir darüber\nkeine Sorgen, Schätzchen",don't worry about it dear,don't worry about it dear,Original,AuntChat
line:0c7e66,"ich bin mir sicher,\nes wird alles gut gehen",i'm sure it'll all work\nout fine,i'm sure it'll all work\nout fine,Original,AuntChat
line:69afd0,ich glaube,i think,i think,Original,AuntChat
line:e13932,eine kleine Wanderung\nsollte dich von diesen Sorgen ablenken,a nice hike will help you\ntake your mind off it,a nice hike will help you\ntake your mind off it,Original,AuntChat
line:109615,"ahh, sicher ein schöner Tag",ahh sure is a nice day,ahh sure is a nice day,Original,AuntChat
line:923d86,"ich liebe es hier, weißt du?","i love it here, you know?","i love it here, you know?",Original,AuntChat
line:2640d9,"ja, es ist nett","yeah, it's nice","yeah, it's nice",Player,AuntChat
line:797bbe,die Stadt ist aber\nauch ziemlich gut!,the city's pretty good\ntoo though!,the city's pretty good\ntoo though!,Player,AuntChat
line:a96f99,es gibt coole Veranstaltungen,it's got cool events,it's got cool events,Player,AuntChat
line:af8fd9,großartiges Essen,great food,great food,Player,AuntChat
line:ba2c5e,und auch,and also,and also,Player,AuntChat
line:2eade3,Handyempfang!,cellphone reception!,cellphone reception!,Player,AuntChat
line:c73cbb,"weißt du, wir werden auch\nbald Handyempfang bekommen!","we'll get reception too\nsoon, ya know!","we'll get reception too\nsoon, ya know!",Original,AuntChat
line:89c559,sie bauen einen\nneuen Funkturm,they're building a new\nradio tower,they're building a new\nradio tower,Original,AuntChat
line:49e489,oh,oh,oh,Player,AuntChat
line:6b6e0e,das wird toll,that'll be nice,that'll be nice,Player,AuntChat
line:d4c9d3,"ahh, es ist so wunderschön hier","ahh, it's so lovely here","ahh, it's so lovely here",Player,AuntChat
line:223ea1,ich könnte den ganzen Tag hier sitzen,i could sit here all day,i could sit here all day,Player,AuntChat
line:de9d91,und das werde ich auch,and i will,and i will,Player,AuntChat
line:b7a7b0,CLAIRE!,CLAIRE!,CLAIRE!,Original,KidStart
line:c4bfc9,hast du gewusst...,did you know...,did you know...,Original,KidStart
line:89c5de,"du kannst <color=red>{{JumpButton}} gedrückt halten,\nwährend du rennst,</color>\num durch die Luft zu gleiten?!?",you can <color=red>hold {{JumpButton}} while running</color>\nto glide through the air?!?,you can <color=red>hold {{JumpButton}} while running</color>\nto glide through the air?!?,Original,KidStart
line:63f4be,natürlich!,of course!,of course!,Player,KidStart
line:bc1f77,das weiß doch jeder!,everyone knows that,everyone knows that,Player,KidStart
line:59da5d,warum fragst du?,why do you ask?,why do you ask?,Player,KidStart
line:11dc70,keine Ahnung,i dunno,i dunno,Original,KidStart
line:8d1f3a,"ich hatte so ein Gefühl,\ndass du es wissen möchtest",i just had a feeling\nyou might want to know,i just had a feeling\nyou might want to know,Original,KidStart
line:5f1cb6,uuh,um,um,Player,KidStart
line:9857a1,ok,ok,ok,Player,KidStart
line:6b0d0c,"warte, äh","wait, uh","wait, uh",Player,KidStart
line:2c740b,wie gleite ich nochmal?,how do i glide again?,how do i glide again?,Player,KidStart
line:a5b030,"du <color=red>hältst {{JumpButton}} gedrückt,\nwährend du rennst</color>, Dummerchen!",you <color=red>hold {{JumpButton}} while running</color> dummy!,you <color=red>hold {{JumpButton}} while running</color> dummy!,Original,KidStart
line:131a7c,"cool, wollte nur sicher sein,\ndass DU es nicht vergessen hast",cool just making sure\nyou haven't forgotten,cool just making sure\nyou haven't forgotten,Player,KidStart
line:975e5c,ich vergesse niemals etwas!,i never forget anything!,i never forget anything!,Original,KidStart
line:845d4e,ich bin ein Genie,i'm a genius,i'm a genius,Original,KidStart
line:32fa08,"ok, ein letztes Mal",ok one last time,ok one last time,Player,KidStart
line:b08a47,was hast du gesagt?,what was that thing you said?,what was that thing you said?,Player,KidStart
line:703f8a,<color=red>HALTE {{JumpButton}} GEDRÜCKT WÄHREND\nDU RENNST UM ZU GLEITEN!!!</color>,<color=red>HOLD {{JumpButton}} WHILE RUNNING TO GLIDE!!!</color>,<color=red>HOLD {{JumpButton}} WHILE RUNNING TO GLIDE!!!</color>,Original,KidStart
line:5746d5,"ok, danke",ok thanks,ok thanks,Player,KidStart
line:509a8c,"ernsthaft, noch ein aller letztes Mal",seriously just one last time,seriously just one last time,Player,KidStart
line:1a38b1,<color=red>HALTE</color>,HOLD,HOLD,Original,KidStart
line:77a928,<color=red>{{JumpButton}}</color>,{{JumpButton}},{{JumpButton}},Original,KidStart
line:f7a6f2,<color=red>UM ZU</color>,TO,TO,Original,KidStart
line:193b8b,<color=red>GLEITEN!!!!</color>,GLIDE!!!!,GLIDE!!!!,Original,KidStart
line:abcac6,"okay, ich verspreche\nich werde es nicht vergessen",ok i promise i won't forget,ok i promise i won't forget,Player,KidStart
line:ff18cb,nur ein letztes-,just one more-,just one more-,Player,KidStart
line:e27b74,NEIN!,NO!,NO!,Original,KidStart
line:81083b,NEEEEIN!,NOOOO!,NOOOO!,Original,KidStart
line:9ab14d,NEEEEEEEEEEEEEEEEEEEIN!,NOOOOOOOOOOOOOOOOOOO!,NOOOOOOOOOOOOOOOOOOO!,Original,KidStart
line:767e99,NICHT MEHR,NO MORE!!!!,NO MORE!!!!,Original,KidStart
line:29cac4,"HEY, DU",HEY YOU,HEY YOU,Original,OtherKidStart
line:17a485,BRING MIR 15 MUSCHELN!,FIND ME 15 SHELLS!,FIND ME 15 SHELLS!,Original,OtherKidStart
line:c5ecea,was! warum?,what! why?,what! why?,Player,OtherKidStart
line:e4e484,ich will sie haben,i want em,i want em,Original,OtherKidStart
line:88d371,"ja, aber warum","yeah, but why","yeah, but why",Player,OtherKidStart
line:7a437e,das ist ein Geheimnis!,it's a secret!,it's a secret!,Original,OtherKidStart
line:a889a8,"heh, okay","heh, ok","heh, ok",Player,OtherKidStart
line:ad9058,ich werde nach Muscheln\nAusschau halten,i'll keep an eye out,i'll keep an eye out,Player,OtherKidStart
line:875ed5,halte bitte mit\nbeiden Augen Ausschau!,"keep BOTH eyes out, please!","keep BOTH eyes out, please!",Original,OtherKidStart
line:feb9a5,"hey, ich hab' deine Muscheln","hey, i got your shells","hey, i got your shells",Player,OtherKidStart
line:051e4c,ooooo!,ooooo!,ooooo!,Original,OtherKidStart
line:c72422,ich nehme sie!,i'll take em!,i'll take em!,Original,OtherKidStart
line:e1241c,und was jetzt,so now what,so now what,Player,OtherKidStart
line:3e628d,was,what,what,Original,OtherKidStart
line:831bce,ich meine,i mean,i mean,Player,OtherKidStart
line:147c2e,uh,uh,uh,Player,OtherKidStart
line:1b9367,bekomme ich irgendetwas,do i get anything,do i get anything,Player,OtherKidStart
line:2fde5e,nein!,no!,no!,Original,OtherKidStart
line:05680a,"ernsthaft, nicht einmal\nein Dankeschön?","geez, not even a thank you?","geez, not even a thank you?",Player,OtherKidStart
line:16ea80,das ist aber nicht sehr nett,that's not very nice,that's not very nice,Player,OtherKidStart
line:bae3c7,"ich tue was nötig ist,\num zu überleben!",i do what it takes to survive!,i do what it takes to survive!,Original,OtherKidStart
line:648a49,ich habe dir nie\netwas versprochen,i never promised you anything,i never promised you anything,Original,OtherKidStart
line:caf7cc,...,...,...,Player,OtherKidStart
line:8e0304,eigentlich,actually,actually,Original,OtherKidStart
line:9d6eff,ich habe schon etwas für dich,i do have something for you,i do have something for you,Original,OtherKidStart
line:4d16a1,einen neuen Job,a new job,a new job,Original,OtherKidStart
line:921eeb,ich habe schon einen Job,i already have a job,i already have a job,Player,OtherKidStart
line:4ab932,dann mach das als Nebenjob,well make this your side gig,well make this your side gig,Original,OtherKidStart
line:1054b1,was wenn ich\nihn nicht annehme,what if i don't take it,what if i don't take it,Player,OtherKidStart
line:5ac191,das ist dann dein Pech!,it's your loss!,it's your loss!,Original,OtherKidStart
line:2f60fc,gute Jobs\nsind schwer zu finden,good jobs are hard to find,good jobs are hard to find,Original,OtherKidStart
line:0c16fe,...,...,...,Original,OtherKidStart
line:c46b69,also was soll es sein?,so what will it be?,so what will it be?,Original,OtherKidStart
line:21d908,"also, was soll das\nmit den Muscheln?",so what's the deal with the shells?,so what's the deal with the shells?,Player,OtherKidStart
line:414248,das geht dich nichts an!,it's none of your business!,it's none of your business!,Original,OtherKidStart
line:14cf86,außer...,except,except,Original,OtherKidStart
line:dfc345,dass du mir 15 von ihnen\nbesorgen sollst,for the business of you\ngetting me 15 of them,for the business of you\ngetting me 15 of them,Original,OtherKidStart
line:2e35f7,ich habe bis jetzt {{Item_Shell}} Muscheln zusammen!,i got {{Item_Shell}} shells so far!,i got {{Item_Shell}} shells so far!,Player,OtherKidStart
line:0e8aeb,"hey, kann ich dir eine\nkurze Frage stellen?",hey can i ask you\na quick question,hey can i ask you\na quick question,Original,OtherKidStart
line:0a19d0,klar doch,sure,sure,Player,OtherKidStart
line:8a7060,ist {{Item_Shell}} mehr oder weniger als 15,is {{Item_Shell}} more or less than 15,is {{Item_Shell}} more or less than 15,Original,OtherKidStart
line:02f9ee,"uh,","uh,","uh,",Player,OtherKidStart
line:e8e0b5,weniger?,less?,less?,Player,OtherKidStart
line:588d2f,ja,yeah,yeah,Original,OtherKidStart
line:4b7c40,ist es,it is,it is,Original,OtherKidStart
line:53148f,wenn du die Muscheln nicht hast...,if you don't have the goods...,if you don't have the goods...,Original,OtherKidStart
line:96850b,...dann verschwende nicht meine Zeit!,...then don't waste my time!,...then don't waste my time!,Original,OtherKidStart
line:b94465,"okay, meine Güte!",okay geez!,okay geez!,Player,OtherKidStart
line:961fbd,was soll ich sagen,what can i say,what can i say,Original,OtherKidStart
line:974e98,ich hab' den Laden fest im Griff,i run a tight ship,i run a tight ship,Original,OtherKidStart
line:e38563,hmmm,hmmm,hmmm,Original,FoxStart
line:b29d15,ich wollte zur\n<color=red>Falkenspitze</color> wandern,i was planning on hiking\nto <color=red>Hawk Peak</color>,i was planning on hiking\nto <color=red>Hawk Peak</color>,Original,FoxStart
line:7ba030,aber dann wurde der Pfad\nplötzlich ziemlich steil,but the path suddenly got really steep,but the path suddenly got really steep,Original,FoxStart
line:83c6cd,"denkst du, man kann da hochklettern?",do you think it's climbable?,do you think it's climbable?,Player,FoxStart
line:bb9ad1,"sicherlich, wenn du eine\n<color=red>goldene Feder</color> hast","well, it would be if i had\na <color=red>golden feather</color>","well, it would be if i had\na <color=red>golden feather</color>",Original,FoxStart
line:c5407a,anscheinend verkaufen sie die\nbeim <color=red>Besucherzentrum</color>,apparently they sell them\nat the <color=red>Visitor Center</color>,apparently they sell them\nat the <color=red>Visitor Center</color>,Original,FoxStart
line:4cacb9,"also, wie funktionieren\ndie <color=red>goldenen Federn</color>?","so, how do <color=red>golden feathers</color> work?","so, how do <color=red>golden feathers</color> work?",Player,FoxStart
line:37e9e6,also wenn du eine in\ndeiner Tasche hast,"well, when you've got\none in your pocket","well, when you've got\none in your pocket",Original,FoxStart
line:477585,fühlst du dich\num einiges leichter,you'll feel much lighter,you'll feel much lighter,Original,FoxStart
line:3bbcd0,"was es einfacher macht,\nKlippen hochzuklettern!",that makes it easier to\nclimb up cliffs!,that makes it easier to\nclimb up cliffs!,Original,FoxStart
line:e82492,wow,woah,woah,Player,FoxStart
line:5dd075,das ist cool!,that's pretty cool,that's pretty cool,Player,FoxStart
line:9d3ba7,"ja, das ist es!",it is indeed!,it is indeed!,Original,FoxStart
line:2c9d43,"also, warum wanderst du\nzur Falkenspitze?",so why are you going to Hawk Peak?,so why are you going to Hawk Peak?,Player,FoxStart
line:cf58a9,ich werde einige gute Naturfotos\nvon ganz oben machen,i'm going to take some great\nnature shots from the top,i'm going to take some great\nnature shots from the top,Original,FoxStart
line:f9074d,ich würde mich nicht\nals Fotografen bezeichnen...,i wouldn't call myself a photographer but...,i wouldn't call myself a photographer but...,Original,FoxStart
line:02b8b9,es ist nur ein lustiges Hobby...,it's just a fun hobby,it's just a fun hobby,Original,FoxStart
line:bf4b14,ich werde auch dorthin gehen!,i'm going there too!,i'm going there too!,Player,FoxStart
line:fd2045,ach ja?,oh yeah?,oh yeah?,Original,FoxStart
line:6e4c47,ich habe gehört\nes ist eine lange Wanderung,i heard it's a long hike,i heard it's a long hike,Original,FoxStart
line:34b8e9,ist sie das?,"it is, eh?","it is, eh?",Player,FoxStart
line:ed5d70,meine Tante meint immer,my aunt's always like,my aunt's always like,Player,FoxStart
line:215373,"""es ist nur eine kurze Wanderung!""","""it's just a short hike away!""","""it's just a short hike away!""",Player,FoxStart
line:fb4e3a,aber sie ist ein\ntotaler Outdoor-Freak,but she's a total outdoors geek,but she's a total outdoors geek,Player,FoxStart
line:8c7a1f,also,so,so,Player,FoxStart
line:b7e9d9,ich glaube sie unterschätzt\ndie Wanderung,i think she underestimates it,i think she underestimates it,Player,FoxStart
line:7ba994,glaube ich auch,i'd say so,i'd say so,Original,FoxStart
line:726a9c,wenn wir es\nzum selben Zeitpunkt schaffen,if we make it up at the same time,if we make it up at the same time,Player,FoxStart
line:4286c4,musst du ein Foto\nvon mir machen!,you'll have to get my picture!,you'll have to get my picture!,Player,FoxStart
line:4a5a70,hört sich nach\neinem guten Plan an!,sounds like a plan!,sounds like a plan!,Original,FoxStart
line:b69196,wir sehen uns dort!,see ya there!,see ya there!,Player,FoxStart
line:d8da86,es ist mir\nein klein wenig peinlich,this is a little\nbit embarrassing,this is a little\nbit embarrassing,Original,VisitorCenterStart
line:b49975,"ich glaube nicht,\ndass bin sehr fotogen bin",i don't think i'm\nvery photogenic,i don't think i'm\nvery photogenic,Original,VisitorCenterStart
line:790618,"aber ich bin froh,\ndass ich ihm bei seiner\nKunst helfen kann!",but i'm glad i can\nhelp with his art!,but i'm glad i can\nhelp with his art!,Original,VisitorCenterStart
line:773c2e,jedenfalls,anyway,anyway,Original,VisitorCenterStart
line:7cc3e6,der Hut steht dir gut!,lookin' sharp in that hat!,lookin' sharp in that hat!,Original,VisitorCenterStart
line:9076cd,howdy!,howdy!,howdy!,Original,VisitorCenterStart
line:40a49b,was gibts?,what's up?,what's up?,Original,VisitorCenterStart
line:663e36,kann ich eine <color=red>goldene Feder</color> kaufen?,can I buy a <color=red>golden feather?</color>,-> can I buy a <color=red>golden feather?</color>,Player,VisitorCenterStart
line:7c01cd,was für Sachen verkaufst du?,what kind of merch do you sell?,-> what kind of merch do you sell?,Player,VisitorCenterStart
line:c822cd,nicht viel,nothing much,-> nothing much,Player,VisitorCenterStart
line:a7d95e,jup,yup,yup,Original,VisitorCenterStart
line:e6c071,so läuft das eben,that's how it goes,that's how it goes,Original,VisitorCenterStart
line:d2ce1b,womit kann ich dir behilflich sein?,how can i help you?,how can i help you?,Original,VisitorCenterStart
line:21f53d,ich habe gehört hier werden\n<color=red>goldene Federn</color> verkauft,i heard you sell <color=red>\ngolden feathers</color> here,i heard you sell <color=red>\ngolden feathers</color> here,Player,VisitorCenterStart
line:2c9feb,"ah, das tun wir!","ah, we do!","ah, we do!",Original,VisitorCenterStart
line:65be46,du kannst eine für\n40 Münzen kaufen,you can buy one\nfor 40 coins,you can buy one\nfor 40 coins,Original,VisitorCenterStart
line:bc4372,ich nehme sie!,i'll take it!,-> i'll take it!,Player,VisitorCenterStart
line:893486,was verkaufst du sonst noch so?,what else do you sell?,-> what else do you sell?,Player,VisitorCenterStart
line:5274f3,alles bestens für's Erste,i'm good for now,-> i'm good for now,Player,VisitorCenterStart
line:505bd5,wir verkaufen ebenfalls\nProvinzpark-Werbeartikel,we also sell provincial\npark merchandise,we also sell provincial\npark merchandise,Original,VisitorCenterStart
line:d739f6,"alles klar, pass auf dich auf","alrighty, take care","alrighty, take care",Original,VisitorCenterStart
line:bc241f,"uhm,","um,","um,",Original,VisitorCenterStart
line:27d375,ich weiß nicht,i dunno,i dunno,Original,VisitorCenterStart
line:6295ae,"ich glaube, ich brauche nichts",i guess i'm fine,i guess i'm fine,Original,VisitorCenterStart
line:f627f3,alles klar!,alrighty!,alrighty!,Original,VisitorCenterStart
line:9149a2,"lass' es mich wissen, wenn du\neine Wegbeschreibung brauchst,\noder einfach etwas kaufen möchtest",let me know if you need directions\nor want to buy anything,let me know if you need directions\nor want to buy anything,Original,VisitorCenterStart
line:8051f6,"oh, was verkaufst du denn?","oh, what are you selling?","oh, what are you selling?",Player,VisitorCenterStart
line:f74cad,"nun, wir haben\nProvinzpark-Werbeartikel","well, we have provincial\npark merch","well, we have provincial\npark merch",Original,VisitorCenterStart
line:03b0f8,"und etwas Wanderzubehör,\nwie <color=red>goldene Federn</color>",and some hiking supplies\nlike <color=red>golden feathers</color>,and some hiking supplies\nlike <color=red>golden feathers</color>,Original,VisitorCenterStart
line:4996e6,und was sind für Federn?,what are those?,what are those?,Player,VisitorCenterStart
line:da421d,die klingen cool,they sound cool,they sound cool,Player,VisitorCenterStart
line:f56321,die sind cool!,they are cool!,they are cool!,Original,VisitorCenterStart
line:fd1b15,sie machen Felsenklettern einfacher,they make rock climbing easier,they make rock climbing easier,Original,VisitorCenterStart
line:852b3a,und in deinem Fall,and in your case,and in your case,Original,VisitorCenterStart
line:0f4a0c,werden sie dir beim Fliegen helfen,will also help you fly,will also help you fly,Original,VisitorCenterStart
line:a936ff,!!,!!,!!,Player,VisitorCenterStart
line:24358e,du kannst eine für\n40 Münzen kaufen,you can buy one for 40 coins,you can buy one for 40 coins,Original,VisitorCenterStart
line:b56114,ich nehme sie!!,i'll take it!!,-> i'll take it!!,Player,VisitorCenterStart
line:5294c3,was für Werbeartikel verkaufst du?,what kind of merch do you sell?,-> what kind of merch do you sell?,Player,VisitorCenterStart
line:68907f,alles bestens für's Erste,i'm good for now,-> i'm good for now,Player,VisitorCenterStart
line:c2141d,"alles klar, pass' auf dich auf","alrighty, take care","alrighty, take care",Original,VisitorCenterStart
line:590cdd,eigentlich sind wir ausverkauft,"actually, we're all sold out","actually, we're all sold out",Original,BuyFeatherStart
line:811e78,"<color=red>ein Junge</color>, der vorhin hier vorbei kam,\nhat den größten Teil unseres\nrestlichen Vorrats aufgekauft",<color=red>a boy</color> came by earlier\nand bought most of the\nremaining stock,<color=red>a boy</color> came by earlier\nand bought most of the\nremaining stock,Original,BuyFeatherStart
